BANK,DATE OF ISSUE,CONTRACT NO ,LC NO,Country,ELITE PIC,CSR PIC
SCB,13-Jun,08/11030,12217210094,Bangladesh,THINHA,ANURAG
SCB,11-Jun,08/11032,341/17/02/0042,Bangladesh,THINHA,ANURAG
SCB,13-Jun,08/11028,336/17/02/0093,Bangladesh,JENY,ANURAG
HSBC,29-May,13/1396,007LC01171460004,India,JENY,NAVDEEP
HSBC,12-Jun,02/5577,5541604714,India,THINHA,SANJEEV
HSBC,12-Jun,11/5551,DB1003LC1705601,Sri Lanka,THINHA,NAVDEEP
SCB,12-Jun,13/1413,019USD170402U,Nepal,JENY,NAVDEEP
HSBC,13-Jun,05/2192,OLC0008170004766,India,JENY,GAURAV
HSBC,13-Jun,15/0077,1165FLC179387,India,THINHA,SHEETAL
HSBC,13-Jun,06/260,0174MDC170005224,India,JENY,VIPIN
HSBC,13-Jun,11/5567,415011732738,Sri Lanka,THINHA,NAVDEEP
HSBC,13-Jun,01/8343,IMLC/2017/520178,India,JENY,SANJEEV
HSBC,13-Jun,11/5544,DCU1702114020,Sri Lanka,JENY,
HSBC,13-Jun,11/5542,DCU1700614042,Sri Lanka,JENY,NAVDEEP
SCB,13-Jun,08/11040,140817220004,Bangladesh,JENY,ANURAG
SCB,13-Jun,1/35,001LM01171640006,India,JENY,SANJEEV
SCB,13-Jun,08/11031,12217210095,Bangladesh,THINHA,ANURAG
SCB,13-Jun,08/11053,140817220002,Bangladesh,JENY,ANURAG
SCB,11-Jun,07/3913,0217IM0200149,Nepal,JENY,SURYA
SCB,11-Jun,07/3901,0217IM0200150,Nepal,JENY,SURYA
SCB,12-Jun,07/3892,003ILUF171630001,Nepal,JENY,SURYA
SCB,13-Jun,11/5560,288020021700007,Sri Lanka,JENY,NAVDEEP
SCB,13-Jun,11/5552,027IMLCU17002497,Sri Lanka,JENY,NAVDEEP
SCB,13-Jun,08/11041,140817220006,Bangladesh,JENY,ANURAG
SCB,13-Jun,08/11052,140817220005,Bangladesh,JENY,ANURAG
SCB,13-Jun,08/11033,209317020075,Bangladesh,JENY,ANURAG
SCB,13-Jun,08/11051,140817220001,Bangladesh,JENY,ANURAG
SCB,13-Jun,05/2201,RMPIMLC16664,India,THINHA,GAURAV
SCB,14-Jun,08/11027,133617020094,Bangladesh,JENY,ANURAG
SCB,14-Jun,07/3909,NBL1780024U045,Nepal,JENY,SURYA
SCB,14-Jun,11/5554,DCU1700114027,Sri Lanka,JENY,NAVDEEP
SCB,14-Jun,07/3893,HBLIFX12731688,Nepal,JENY,SURYA
SCB,14-Jun,07/3890,FLCIM17169,Nepal,JENY,SURYA
BTMU,14-Jun,08/10959,90617020026,Bangladesh,JENY,ANURAG
SCB,14-Jun,07/3891,FCLIM17170,Nepal,JENY,SURYA
SCB,14-Jun,07/3894,HBLIFX12731687,Nepal,JENY,SURYA
SCB,14-Jun,07/3899,HBLIFX09731691,Nepal,JENY,SURYA
SCB,14-Jun,05/2197,123DC0028017,India,JENY,GAURAV
SCB,14-Jun,08/11029,DPCDAK704651,Bangladesh,JENY,ANURAG
SCB,13-Jun,07/3902,2217IM0200059,Nepal,JENY,SURYA
SCB,15-Jun,11/5532,LCUCBG17000775,Sri Lanka,JENY,NAVDEEP
SCB,14-Jun,11/5556,LCUPET17000796,Sri Lanka,JENY,NAVDEEP
SCB,13-Jun,07/3918,010LCIFU170050,Nepal,JENY,SURYA
HSBC,15-Jun,11/5568,TF1716501020,Sri Lanka,JENY,NAVDEEP
HSBC,13-Jun,11/5546,BTD/M085069,Sri Lanka,JENY,NAVDEEP
HSBC,14-Jun,06/255,003LC01171640011,India,JENY,VIPIN
SCB,12-Jun,07/3907,012USD73740721U,Nepal,jENY,SURYA
BTMU,14-Jun,08/11056,100317020119,Bangladesh,JENY,ANURAG
BTMU,15-Jun,08/11055,154217020058,Bangladesh,JENY,ANURAG
SCB,13-Jun,07/3895,17DC05USD07393,Nepal,JENY,SURYA
SCB,15-Jun,07/3900,HBLIFX09731707,Nepal,JENY,SURYA
SCB,15-Jun,08/11057,56021722052,Bangladesh,JENY,ANURAG
HSBC,14-Jun,02/5582,0505717IM0000046,India,JENY,SANJEEV
HSBC,14-Jun,01/8361,0505417IM0000356,India,JENY,SANJEEV
HSBC,14-Jun,15/0082,0506317IM0000144,India,JENY,SHEETAL
SCB,15-Jun,6/63,827010010981,India,JENY,VIPIN
SCB,15-Jun,11/5553,MCBLCU1700294,Sri Lanka,JENY,NAVDEEP
SCB,14-Jun,07/3910,2217IM0200060,Nepal,JENY,SURYA
HSBC,14-Jun,11/5570,0042002170013827,Sri Lanka,JENY,NAVDEEP
HSBC,15-Jun,06/269,30930NI00004617,India,JENY,VIPIN
